,uv,buy_rate,uv_log,st_uv
0,22,0.86,3.1354942159291497,0.19938039279076808
1,13,0.15,2.6390573296152584,0.15885389104646255
2,647,0.78,6.473890696352274,0.47190955917005023
3,2,1.0,1.0986122886681098,0.03310004325627558
4,2,1.0,1.0986122886681098,0.03310004325627558
5,8,0.75,2.1972245773362196,0.12278498420337582
6,1429,0.73,7.265429723253953,0.536526650765726
7,3,0.33,1.3862943611198906,0.05658489769082466
8,28,0.57,3.367295829986474,0.2183034599024396
9,891,0.97,6.79346613258001,0.49799802042417946
10,105,0.97,4.663439094112067,0.3241137929026405
11,765,0.99,6.641182169740591,0.48556635699266876
12,1,1.0,0.6931471805599453,0.0
13,2,0.5,1.0986122886681098,0.03310004325627558
14,1,1.0,0.6931471805599453,0.0
15,1,1.0,0.6931471805599453,0.0
16,3,0.67,1.3862943611198906,0.05658489769082466
17,1,1.0,0.6931471805599453,0.0
18,1,1.0,0.6931471805599453,0.0
19,1,1.0,0.6931471805599453,0.0
20,1,1.0,0.6931471805599453,0.0
21,2,0.5,1.0986122886681098,0.03310004325627558
22,2,1.0,1.0986122886681098,0.03310004325627558
23,2,1.0,1.0986122886681098,0.03310004325627558
24,1,1.0,0.6931471805599453,0.0
25,1,1.0,0.6931471805599453,0.0
26,1,1.0,0.6931471805599453,0.0
27,1,1.0,0.6931471805599453,0.0
28,1,1.0,0.6931471805599453,0.0
29,1,1.0,0.6931471805599453,0.0
30,277,0.64,5.627621113690637,0.4028245522670692
31,467,0.93,6.148468295917647,0.44534378244710293
32,52,0.77,3.970291913552122,0.2675288952118159
33,72,0.69,4.290459441148391,0.29366569169755496
34,1343,0.64,7.203405521083095,0.5314633204476861
35,30,0.6,3.4339872044851463,0.2237477936726777
36,13,0.38,2.6390573296152584,0.15885389104646255
37,36,0.33,3.6109179126442243,0.23819148802841164
38,16,0.69,2.833213344056216,0.17470376899637327
39,5,0.6,1.791759469228055,0.08968494094710022
40,5,0.6,1.791759469228055,0.08968494094710022
41,26,0.65,3.295836866004329,0.21246992515047602
42,4,0.5,1.6094379124341003,0.07480116600382815
